Order,area,price
490,1430,156000
491,2312,245000
492,1675,181000
493,2060,214000
494,1430,168000
495,2365,337000
496,2794,403000
497,2687,327000
498,2450,340000
499,2612,336000
500,2344,265000
501,2063,315000
502,2646,260000
503,2061,260000
504,2232,263550
505,2448,402000
506,1850,248000
507,1468,244600
508,1696,275000
509,1658,257500
510,1578,287090
511,1702,275500
512,1432,245000
513,1971,253000
514,2490,468000
515,1852,252678
516,1590,210000
517,1218,208300
518,1436,225000
519,1314,229456
520,1402,229800
521,1530,250000
522,1766,370878
523,1448,238500
524,2007,310000
525,1795,270000
526,1953,252000
527,1550,241000
528,1836,264500
529,1662,291000
530,2094,263000
531,1221,185000
532,1553,234500
533,1653,209000
534,1218,159000
535,1141,152000
536,1158,143500
537,1812,193000
538,1512,203000
539,1200,184900
540,1114,159000
541,1114,142000
542,1114,153000
543,1450,224243
544,2122,220000
545,1844,257000
546,1434,189000
547,1730,171500
548,1217,120000
549,1332,145000
550,1540,184000
551,1400,162000
552,1882,160000
553,841,82000
554,784,76000
555,980,110000
556,980,135000
557,864,141000
558,864,122000
559,1020,124100
560,912,129000
561,1144,131400
562,864,62383
563,912,123000
564,2014,275000
565,1755,235000
566,3005,280750
567,1224,164500
568,1224,173733
569,1726,222000
570,1256,195000
571,1471,172500
572,1512,180000
573,1452,156000
574,1739,172500
575,1694,318750
576,1226,211500
577,1740,241600
578,2499,180500
579,1620,150000
580,1556,154000
581,1442,185000
582,1489,185750
583,2090,200000
584,2067,206000
585,1395,162000
586,2640,256900
587,1724,197900
588,1336,163000
589,1216,113000
590,2288,230000
591,1334,167900
592,1680,213250
593,1665,227000
594,864,130000
595,1568,143000
596,925,117500
597,2061,168500
598,1320,172500
599,1342,161500
600,894,141500
601,864,118000
602,864,127500
603,1362,140000
604,1728,177625
605,1776,110000
606,1516,167000
607,1313,153000
608,1292,145100
609,1154,154000
610,2140,177500
611,1445,158000
612,1041,124500
613,1576,174500
614,960,122000
615,708,82500
616,1203,110000
617,1505,149500
618,1691,175000
619,1644,167000
620,1050,128900
621,1668,140000
622,1113,147000
623,1584,124000
624,1453,187500
625,1394,159000
626,1567,256000
627,1986,205000
628,2142,193500
629,1392,110000
630,1738,104900
631,1144,150000
632,1478,156500
633,1329,176000
634,988,149500
635,1632,139000
636,1215,155000
637,1202,120000
638,1382,153000
639,1200,144000
640,1382,176000
641,1297,153000
642,1866,135000
643,1062,131000
644,1319,123000
645,1112,126000
646,1005,115000
647,1363,164900
648,793,113000
649,1031,145500
650,1210,102900
651,1699,95000
652,1527,152500
653,1200,129900
654,972,132000
655,792,99900
656,1656,135000
657,1352,149000
658,1039,114000
659,792,109500
660,1078,125000
661,2377,142900
662,1690,156500
663,599,59000
664,1374,105000
665,846,106000
666,725,78500
667,2544,190000
668,1380,154000
669,1040,163000
670,2634,200000
671,951,143500
672,1105,135000
673,1306,153000
674,1478,157500
675,1142,113500
676,1268,133000
677,1040,92900
678,1133,128500
679,1040,90000
680,1904,138000
681,1041,128000
682,1339,139000
683,732,118900
684,1183,138000
685,1148,132500
686,1461,133500
687,1495,135000
688,1806,144750
689,941,145000
690,1045,127000
691,894,109500
692,1224,115000
693,1230,110000
694,1378,128900
695,1944,103500
696,1131,66500
697,1306,130000
698,1464,129000
699,1558,150000
700,2372,107500
701,1701,94550
702,1960,124500
703,1389,135000
704,1447,103000
705,936,93000
706,1328,129500
707,1387,93000
708,861,80000
709,612,45000
710,968,37900
711,886,91300
712,792,99500
713,1452,113000
714,1510,87500
715,1284,110000
716,2138,106000
717,2640,265979
718,2007,160000
719,1288,119000
720,1742,168000
721,816,58500
722,1482,143000
723,1022,85000
724,1869,124900
725,1480,119000
726,1521,146500
727,720,34900
728,797,44000
729,1576,223500
730,1432,149000
731,1548,205000
732,1654,137000
733,952,121000
734,1324,128000
735,1176,134900
736,1348,117000
737,1412,132500
738,1142,93000
739,904,119000
740,1301,100000
741,1539,141500
742,1573,133000
743,800,60000
744,875,105000
745,995,115000
746,1582,150000
747,1072,126500
748,2134,214500
749,2019,167500
750,1768,155000
751,1826,155000
752,1944,179900
753,2229,104000
754,2128,62500
755,1930,149000
756,1208,103000
757,1427,123000
758,1864,97500
759,1666,135000
760,892,70000
761,1403,116000
762,704,88750
763,1200,179000
764,1200,179000
765,1152,159900
766,904,61000
767,1369,103600
768,1112,63000
769,1464,175000
770,1121,139000
771,1683,172500
772,1052,113500
773,899,130000
774,1034,149900
775,858,134900
776,860,137000
777,1092,139000
778,1774,165000
779,1138,148000
780,2071,165000
781,660,63900
782,1788,161500
783,1473,143000
784,1229,135000
785,861,82500
786,1867,190000
787,1733,139600
788,1383,122000
789,1689,127500
790,1073,121500
791,1276,60000
792,1639,154400
793,672,113000
794,1089,125000
795,845,84000
796,1049,139500
797,1716,131000
798,1258,105000
799,1510,108000
800,1061,162000
801,1338,156500
802,2132,316600
803,2196,271900
804,1775,213000
805,1879,239900
806,2020,239500
807,2016,131000
808,1535,118964
809,1224,153337
810,2228,147983
811,1535,118858
812,1535,118858
813,2240,142953
814,1229,148325
815,1513,113722
816,2787,269500
817,2787,269500
818,2787,269500
819,1680,323262
820,1718,297000
821,1630,295493
822,1720,332000
823,1468,239900
824,1768,212000
825,1838,272500
826,1800,239000
827,1604,220000
828,1290,200000
829,1254,221800
830,1232,194500
831,1498,237000
832,1422,173000
833,1644,275000
834,1759,233500
835,2126,185000
836,1040,152000
837,990,143000
838,1764,231500
839,1661,212000
840,1463,207000
841,1097,145000
842,990,138000
843,1779,197900
844,1501,204000
845,1431,192000
846,1772,200000
847,1660,195000
848,1573,227000
849,1840,230000
850,1430,187100
851,1444,203000
852,1492,201000
853,1040,124000
854,907,140000
855,914,134900
856,1040,150500
857,864,136500
858,1268,143500
859,864,133500
860,894,123000
861,768,133900
862,768,133000
863,1611,250000
864,2184,254750
865,1788,236500
866,1872,261500
867,2153,313000
868,1725,198500
869,1870,211000
870,1513,220000
871,1504,203000
872,1828,279500
873,1417,210000
874,2034,219500
875,1716,191000
876,1212,178000
877,1630,213000
878,848,144000
879,848,140000
880,1602,293200
881,1728,190000
882,1500,190000
883,1476,173500
884,1396,170000
885,1126,108000
886,1486,167000
887,816,100000
888,1922,198500
889,1426,159500
890,1149,127000
891,1125,125000
892,1698,320000
893,1072,145500
894,698,118000
895,876,85000
896,1368,120000
897,1529,98000
898,864,99900
899,944,82000
900,1678,119900
901,1560,103500
902,960,112000
903,1196,110000
904,1298,122000
905,1604,117000
906,1268,160000
907,1520,159434
908,438,60000
909,1489,139500
910,3082,197000
911,1242,105000
912,1981,135000
913,1232,147500
914,1608,137450
915,1135,155000
916,1913,177000
917,1477,145000
918,1228,137000
919,2080,234000
920,1567,205000
921,1494,177500
922,1308,160000
923,1273,155000
924,964,163500
925,1343,154900
926,2480,205000
927,1112,144800
928,1564,174500
929,1561,193000
930,1523,158000
931,1152,158500
932,1906,224000
933,1032,115000
934,1229,137000
935,1229,121000
936,1229,124000
937,1982,208000
938,2365,315000
939,1680,222000
940,1344,147000
941,2168,123000
942,1192,78000
943,1526,85000
944,572,75000
945,1648,230000
946,810,57625
947,2052,251000
948,2149,239686
949,1710,240000
950,1961,215000
951,926,156450
952,1287,173000
953,1734,126000
954,1217,173000
955,1595,152000
956,1344,137500
957,2036,375000
958,1620,315500
959,1692,224500
960,2036,410000
961,1641,316500
962,1466,201000
963,1412,175000
964,2237,204000
965,1479,213500
966,1296,220000
967,2014,170000
968,1838,315000
969,1978,425000
970,1008,139500
971,1771,115000
972,1204,162000
973,1224,165000
974,988,91000
975,874,130000
976,630,86000
977,1404,160000
978,630,80000
979,1344,97000
980,1092,88000
981,796,131900
982,1091,131250
983,1110,165500
984,833,112000
985,883,149000
986,1362,143000
987,1287,130000
988,1567,196000
989,1632,173000
990,1414,176500
991,2117,237500
992,2112,206900
993,1604,187500
994,1470,165000
995,1604,195500
996,1638,192000
997,1636,173000
998,1384,177900
999,1446,175000
1000,1593,286000
1001,1682,247900
1002,1337,180000
1003,1280,180000
1004,1604,181000
1005,1633,183000
1006,1658,188000
1007,1895,194500
1008,1709,185000
1009,1228,189000
1010,1337,188500
1011,2500,355000
1012,2504,325000
1013,1884,387000
1014,1474,115000
1015,1710,334000
1016,1488,133000
1017,2093,215000
1018,1688,226500
1019,1422,175500
1020,1260,181900
1021,2064,235000
1022,1782,220000
1023,2872,272000
1024,1211,161000
1025,1126,175000
1026,2044,185000
1027,1308,146900
1028,2840,292500
1029,1523,180000
1030,1444,159900
1031,1964,205000
1032,1178,157000
1033,2340,306000
1034,1792,133000
1035,1054,151000
1036,936,111900
1037,864,123000
1038,864,111250
1039,1337,181000
1040,987,103400
1041,987,100000
1042,987,100500
1043,987,106000
1044,987,85400
1045,987,89500
1046,1302,111750
1047,1069,140000
1048,1456,143000
1049,1055,148500
1050,892,110000
1051,1932,394617
1052,2332,426000
1053,2084,385000
1054,2713,446261
1055,1582,317500
1056,1710,372402
1057,2464,417500
1058,1950,383000
1059,2748,390000
1060,2790,460000
1061,2331,379000
1062,2088,250000
1063,2332,316000
1064,2470,615000
1065,2668,412500
1066,2046,284000
1067,1575,284000
1068,2649,421250
1069,2690,370000
1070,1866,336860
1071,1702,367294
1072,1367,192000
1073,1518,274000
1074,1684,266000
1075,1800,370967
1076,1342,234250
1077,1342,219500
1078,1626,155000
1079,1626,154000
1080,1358,207000
1081,1455,195000
1082,1576,219990
1083,1504,191000
1084,1266,159895
1085,1246,187687
1086,1515,179000
1087,1593,193000
1088,1166,190000
1089,1456,176000
1090,1720,188000
1091,1986,213000
1092,1358,217300
1093,1792,186500
1094,1892,226750
1095,1490,184000
1096,1414,176000
1097,2322,225000
1098,1651,185900
1099,2199,284500
1100,2630,315000
1101,2198,250000
1102,2172,291000
1103,2006,350000
1104,2125,279500
1105,2501,290000
1106,2113,350000
1107,2418,341000
1108,2197,287500
1109,2127,271000
1110,1987,301500
1111,1580,235128
1112,1933,214000
1113,1574,232000
1114,1578,240000
1115,1506,264132
1116,1563,245000
1117,1428,227680
1118,1861,257000
1119,1874,297900
1120,1460,247000
1121,1372,212700
1122,1372,250580
1123,1428,182000
1124,1768,226700
1125,1992,250000
1126,1958,250000
1127,2078,339750
1128,1665,205950
1129,1660,256000
1130,1218,230348
1131,1728,207500
1132,1080,141000
1133,1696,188000
1134,1663,192500
1135,1175,146000
1136,1114,159000
1137,1114,155000
1138,1640,173000
1139,1162,170000
1140,1609,182000
1141,1680,163000
1142,1679,193500
1143,1657,189000
1144,1677,190500
1145,1737,175000
1146,1294,179200
1147,1710,187000
1148,1617,193000
1149,1199,153900
1150,984,128000
1151,912,144000
1152,864,135000
1153,890,115000
1154,864,119916
1155,912,142000
1156,1430,192000
1157,1641,140000
1158,2683,290000
1159,2786,372500
1160,1391,196000
1161,1250,171900
1162,1245,178000
1163,1200,165000
1164,1392,146000
1165,1392,146000
1166,1501,179400
1167,1549,172900
1168,1638,300000
1169,1310,285000
1170,1419,290000
1171,1557,305000
1172,1709,328900
1173,1252,160000
1174,1404,170000
1175,1789,223000
1176,1586,170000
1177,1607,200000
1178,2393,345000
1179,1288,245500
1180,1239,217500
1181,1719,324000
1182,1232,162500
1183,2944,150000
1184,1671,290000
1185,1812,205000
1186,1682,174000
1187,1427,183000
1188,1740,150000
1189,1258,145000
1190,1620,215000
1191,1625,140500
1192,2614,240000
1193,1464,141000
1194,912,147000
1195,925,135000
1196,1728,145000
1197,1728,142600
1198,1656,135000
1199,1670,170000
1200,2715,299800
1201,1876,185000
1202,1632,173000
1203,999,178400
1204,1978,176000
1205,1014,98000
1206,907,109008
1207,952,135750
1208,1128,155000
1209,1425,180500
1210,1165,174900
1211,1136,140000
1212,1092,145000
1213,1265,179900
1214,1350,168500
1215,1114,140000
1216,1053,145500
1217,1252,142000
1218,1100,141000
1219,1118,153000
1220,720,72500
1221,729,52000
1222,1077,118000
1223,906,87000
1224,1496,141500
1225,1252,119000
1226,1337,141500
1227,1661,165500
1228,1036,112900
1229,1820,201800
1230,1362,163000
1231,1144,139950
1232,1537,174000
1233,1431,165000
1234,1988,227000
1235,1098,135000
1236,1144,124000
1237,1283,140000
1238,1176,136500
1239,1440,185000
1240,1261,163000
1241,1570,166800
1242,1196,139000
1243,1392,166000
1244,1080,136000
1245,1104,133000
1246,882,116000
1247,1152,137500
1248,950,130000
1249,1790,180000
1250,952,139000
1251,773,110000
1252,1764,100000
1253,1216,118500
1254,1824,146000
1255,869,89900
1256,1159,114000
1257,1558,140000
1258,672,86900
1259,1436,139000
1260,1294,106250
1261,1716,171000
1262,1044,139000
1263,1312,186000
1264,1253,157000
1265,1081,148000
1266,2069,242000
1267,910,116000
1268,876,94000
1269,1048,98300
1270,1507,127000
1271,1256,159000
1272,1027,125900
1273,1269,155000
1274,1320,138000
1275,984,112500
1276,832,105500
1277,1278,127500
1278,1800,130000
1279,1588,150000
1280,825,109500
1281,1796,140000
1282,1611,167900
1283,1117,136870
1284,1133,143000
1285,764,73000
1286,1539,157500
1287,1323,122600
1288,1360,111000
1289,2792,256000
1290,672,64000
1291,1456,139500
1292,1594,118000
1293,2082,200000
1294,1656,119164
1295,1740,122250
1296,1027,120000
1297,1436,155000
1298,899,78000
1299,1080,95000
1300,789,115000
1301,1122,147000
1302,1499,140000
1303,407,46500
1304,928,112500
1305,901,107900
1306,1588,65000
1307,3493,295000
1308,1627,139500
1309,1416,153900
1310,1450,132000
1311,1344,98000
1312,1017,114000
1313,2350,130000
1314,2058,129500
1315,1540,129400
1316,1378,161000
1317,1912,163000
1318,1484,128000
1319,2358,122000
1320,1111,116900
1321,2775,325000
1322,1086,55000
1323,2495,184000
1324,984,110000
1325,1795,131500
1326,882,97000
1327,1093,115500
1328,1143,138000
1329,1668,108000
1330,935,79500
1331,1738,153000
1332,784,109500
1333,1210,124000
1334,1290,106900
1335,1672,164900
1336,949,119000
1337,1158,120000
1338,1497,157000
1339,1342,105000
1340,1013,113000
1341,1216,115000
1342,896,79000
1343,1136,123000
1344,808,81300
1345,1573,162900
1346,2009,150000
1347,1902,123500
1348,1774,129900
1349,1362,128000
1350,520,68500
1351,1285,127000
1352,1848,207000
1353,1820,184000
1354,1716,162500
1355,1505,145000
1356,838,130000
1357,1984,160000
1358,1666,161000
1359,1609,127500
1360,768,93850
1361,1536,136000
1362,1969,141000
1363,1308,120000
1364,1040,127500
1365,1236,127000
1366,1406,89500
1367,825,125000
1368,1198,79900
1369,759,85000
1370,1344,82375
1371,1469,135000
1372,1054,124000
1373,1211,134000
1374,1271,135000
1375,1588,134432
1376,1355,127500
1377,1075,148000
1378,1040,129500
1379,1096,157500
1380,904,109900
1381,992,145000
1382,894,130000
1383,1034,153000
1384,1073,120000
1385,1126,152000
1386,1258,108959
1387,1140,95541
1388,1006,80000
1389,1228,149350
1390,960,144900
1391,1188,185000
1392,1383,165000
1393,1252,235000
1394,1601,140000
1395,672,108000
1396,1721,145000
1397,1350,152400
1398,904,144000
1399,1291,173000
1400,2022,192000
1401,1524,245000
1402,1363,241500
1403,1663,256000
1404,1357,177000
1405,1079,125600
1406,1094,155000
1407,2358,240000
1408,1518,260000
1409,1674,185000
1410,2108,235000
1411,1509,159900
1412,864,99600
1413,1269,134500
1414,1367,119000
1415,1347,107500
1416,1164,125000
1417,1096,79000
1418,1111,95000
1419,2329,262280
1420,2814,260000
1421,1626,226500
1422,2200,225000
1423,2037,229000
1424,1356,177439
1425,1615,248500
1426,2276,475000
1427,1766,395039
1428,2097,228000
1429,1511,225000
1430,1643,195000
1431,1688,200000
1432,990,155000
1433,1099,144000
1434,990,145000
1435,1418,226001
1436,1771,215700
1437,1652,207500
1438,1790,193000
1439,1724,188000
1440,1479,191000
1441,1494,221000
1442,1792,231500
1443,1823,235000
1444,1786,223500
1445,938,130250
1446,985,149900
1447,1174,158000
1448,1026,147000
1449,1076,143195
1450,1558,163000
1451,924,110000
1452,864,127000
1453,780,124900
1454,1795,230000
1455,2031,237000
1456,1865,235000
1457,2161,230500
1458,1852,230000
1459,2031,222500
1460,2263,287000
1461,1947,274000
1462,1786,300000
1463,2290,255900
1464,1768,224900
1465,2327,240000
1466,1640,183000
1467,1764,207000
1468,1908,210000
1469,848,136500
1470,848,145000
1471,1493,208900
1472,1838,185000
1473,1536,214000
1474,1710,208500
1475,1445,186500
1476,1436,210000
1477,1582,185900
1478,1234,179900
1479,1564,218836
1480,1361,193000
1481,1456,189000
1482,848,149300
1483,848,141000
1484,848,149000
1485,848,144500
1486,796,85000
1487,2200,145900
1488,1092,123000
1489,1256,147500
1490,1033,165000
1491,1127,135000
1492,996,108000
1493,1181,137500
1494,1656,165400
1495,1117,147000
1496,1398,160500
1497,1132,176000
1498,3820,284700
1499,5642,160000
1500,1072,148000
1501,1152,82000
1502,1152,82000
1503,1440,118000
1504,1152,82500
1505,784,91900
1506,1053,120000
1507,1137,96000
1508,930,99000
1509,1200,130500
1510,1470,135000
1511,1393,135500
1512,1204,100000
1513,1292,108000
1514,864,98000
1515,864,67000
1516,1716,135900
1517,1482,140000
1518,2192,179500
1519,1694,136500
1520,1424,168000
1521,1964,130000
1522,2601,189000
1523,1920,161900
1524,1316,145000
1525,2555,191000
1526,1680,177000
1527,1264,147500
1528,790,91000
1529,1512,231000
1530,1639,115000
1531,1603,138000
1532,1502,149000
1533,1660,188700
1534,1938,198000
1535,1374,110000
1536,1091,104000
1537,1873,257076
1538,3447,381000
1539,1954,311500
1540,2161,263400
1541,1898,236500
1542,1640,224000
1543,1032,116500
1544,1556,151000
1545,919,126000
1546,1090,120000
1547,796,55000
1548,816,120500
1549,778,120500
1550,1200,119000
1551,1656,126000
1552,912,99500
1553,1955,165500
1554,733,13100
1555,1361,89000
1556,1317,40000
1557,1049,80900
1558,894,81000
1559,864,65000
1560,1652,392500
1561,1648,294464
1562,1646,250000
1563,1646,275000
1564,2032,300000
1565,1689,271000
1566,1820,213000
1567,1118,171000
1568,1279,171500
1569,1872,100000
1570,1689,228500
1571,1786,228950
1572,1501,241500
1573,2898,287000
1574,1537,294000
1575,1646,293077
1576,1780,264966
1577,1442,172500
1578,1394,167500
1579,1612,218689
1580,1495,150000
1581,1651,184000
1582,1256,180000
1583,1509,175000
1584,1440,232500
1585,1675,195000
1586,2262,305000
1587,1728,298751
1588,1964,370000
1589,1344,209200
1590,1344,206300
1591,1092,146000
1592,1189,160500
1593,1200,173000
1594,1040,124000
1595,1304,115000
1596,1475,129500
1597,988,105000
1598,988,94900
1599,1160,152500
1600,1092,98000
1601,630,81000
1602,988,113000
1603,816,128500
1604,923,119500
1605,816,130500
1606,816,138000
1607,845,134500
1608,1750,160000
1609,889,137500
1610,1968,172000
1611,1836,103000
1612,1587,167300
1613,1277,167000
1614,2223,244000
1615,2217,268000
1616,1733,225000
1617,1572,168000
1618,1470,177000
1619,1600,169000
1620,1384,161500
1621,1652,251000
1622,1694,160000
1623,1714,180000
1624,1553,178750
1625,1253,176000
1626,2299,204000
1627,1187,160000
1628,1472,160000
1629,1482,163900
1630,1642,168000
1631,1128,154204
1632,1088,170000
1633,2090,207500
1634,1179,182000
1635,1321,212000
1636,1922,377426
1637,2541,349265
1638,2338,591587
1639,1424,155000
1640,1612,319900
1641,1419,392000
1642,2234,441929
1643,2042,455000
1644,1440,182900
1645,1284,174000
1646,1868,178000
1647,1479,176000
1648,1664,213000
1649,1930,192000
1650,1969,190000
1651,2030,195000
1652,1032,148000
1653,1177,151500
1654,1725,197000
1655,1353,192350
1656,1620,152000
1657,1220,170000
1658,1484,175000
1659,1743,175000
1660,1935,197900
1661,1324,174000
1662,1877,178900
1663,1109,139000
1664,981,143250
1665,1479,184000
1666,1422,155000
1667,914,133000
1668,950,119500
1669,872,123000
1670,858,110000
1671,914,128000
1672,864,120500
1673,767,133000
1674,1337,155000
1675,1337,177000
1676,1092,113500
1677,1218,113000
1678,1218,113700
1679,1302,106000
1680,1365,122500
1681,958,128000
1682,1548,155000
1683,1055,142500
1684,988,129250
1685,1816,356000
1686,1828,314813
1687,1694,318000
1688,1694,322400
1689,1734,318000
1690,2122,345474
1691,2121,415298
1692,2656,492000
1693,2550,338931
